JobOrderID,CustID,MoveDate,FromAddress,FromCity,FromState,FromZIP,ToAddress,ToCity,ToState,ToZIP,DistanceEst,WeightEst,Packing,Heavy,Storage
2,1,2016-09-05,1789 Eighth Avenue,Spokane,WA,99204,7899 Grandview Apt #5,Pullman,WA,51515,60,1250,TRUE,TRUE,FALSE
3,3,2016-09-15,4433 Grindstaff St,Kennewick,WA,77436,#3 Madison Ct,Richmond,WA,62626,10,2000,FALSE,FALSE,FALSE
4,3,2016-09-20,9000 Greely Pkwy,Seattle,WA,54835,6788 Fifth Avenue,Tacoma,WA,62626,15,1200,TRUE,TRUE,FALSE
5,9,2016-09-30,143 Faulkner Lane,Bellingham,WA,63736,6788 Carson Road,Tacoma,WA,73737,120,5500,TRUE,TRUE,FALSE
6,16,2016-10-01,7990 Bellington Road,Mount Vernon,WA,46257,78661 Davidson Drive,Marysville,WA,84848,35,5500,TRUE,TRUE,FALSE
7,13,2016-10-05,9000 Wayside Drive,Casper,WY,36436,8989 Franklin Street,Cody,WY,89599,214,5000,TRUE,TRUE,FALSE
8,7,2016-10-05,9001 Harvard Way,Cheyenne,WY,43642,78 Fortner Court,Sheridan,WY,56565,329,2500,TRUE,TRUE,FALSE
9,4,2016-10-05,89098 Jackson Street,Jackson,WY,56435,2009 Kinsington Place,Cody,WY,67676,178,5500,TRUE,TRUE,FALSE
10,4,2016-10-20,7890 Grapevine Court,Riverton,WY,98757,666 Grand Pead Drive,Casper,WY,78787,120,2500,FALSE,TRUE,FALSE
11,10,2016-10-15,9001 Shady Lane,Bend,OR,99068,9000 Smith Avenue,Eugene,OR,89898,115,5500,TRUE,TRUE,FALSE
12,10,2016-10-18,87998 McDonald Road,Eugene,OR,12345,78987 Garrison Way,Salem,OR,33333,65,2000,FALSE,FALSE,FALSE
13,26,2016-10-15,7899 Tindell St,Medford,OR,78468,3422 Victory Circle,John Day,OR,44445,330,6500,TRUE,TRUE,FALSE
14,36,2016-10-08,8900 Washington Street,Astoria,OR,52728,6755 Garrison Park Road,Pendleton,OR,56564,300,7000,TRUE,TRUE,FALSE
15,18,2016-10-16,7890 Eighth Ave,Tacoma,WA,26477,89 Fifth Avenue,Wenatchee,WA,45454,165,5500,TRUE,TRUE,FALSE
16,27,2016-10-18,#5 Mountain View Way,Spokane,WA,46798,4509 El Cajon Blvd,Yakima,WA,77777,200,7200,TRUE,TRUE,TRUE
17,32,2016-10-15,2344 Grandview St,Portland,OR,99763,309 Fifth Street S,Bremeton,WA,56565,175,5500,TRUE,TRUE,TRUE
18,17,2016-10-14,1290 Franklin Street,Rock Springs,WY,55678,3409 Greelee St,Cheyenne,WY,646464,260,6000,TRUE,TRUE,TRUE
19,17,2016-10-22,# 3 Madison Ct,Rock Springs,WY,46275,2456 Faulkner Road,Cheyenne,WY,63634,260,5000,TRUE,TRUE,FALSE
20,38,2016-10-23,9710 Homewood Circle,Jackson,WY,73843,1209 Grandview Court,Cody,WY,84848,180,4000,TRUE,FALSE,TRUE
21,31,2016-10-24,5789 Tinsdale Rd,Cody,WY,55432,2509 22nd Street,Riverton,WY,76766,140,5500,TRUE,TRUE,TRUE
22,13,2016-10-30,5690 McDonald Pkwy,Jackson,WY,66544,1098 Cheryl Lane,Rock Springs,WY,44566,180,4500,TRUE,FALSE,TRUE
23,22,2016-11-05,1200 Greenlee Way,Cheyenne,WY,77655,39098 Scotland Court,Jackson,WY,77553,436,2000,TRUE,TRUE,TRUE
24,22,2016-11-15,12900 Misty Lane,Cody,WY,22234,#3 Timbercreek Lane,Jackson,WY,44665,178,2500,FALSE,FALSE,FALSE
25,2,2016-11-15,1200 Haven Street,Salem,OR,55554,10928 Garrison Rd,Medford,OR,66735,225,5000,TRUE,TRUE,FALSE
26,2,2016-11-15,2099 Nature Walk Rd,Salem,OR,23222,8378 Eighth Ave S,Medford,OR,47365,225,2000,TRUE,FALSE,FALSE
27,2,2016-11-15,1200 College Street,Salem,OR,33333,7898 Gergory Court,Medford,OR,76535,225,3500,TRUE,FALSE,FALSE
28,10,2016-11-18,1098 Keystone St,Bend,OR,44444,8798 Hannah Way,Eugene,OR,36475,115,3000,TRUE,TRUE,FALSE
29,36,2016-11-20,20005 Perking Rd,Pendleton,OR,55555,8777 Austin Lea Road,Bend,OR,13243,243,2500,TRUE,FALSE,FALSE
